datetime,cpm,cps
 2019-07-31 18:32:08,14,0
 2019-07-31 18:32:09,14,0
 2019-07-31 18:32:10,13,0
 2019-07-31 18:32:10,13,0
 2019-07-31 18:32:11,14,1
 2019-07-31 18:32:13,14,0
 2019-07-31 18:32:14,13,0
 2019-07-31 18:32:15,13,0
 2019-07-31 18:32:16,13,0
 2019-07-31 18:32:17,12,0
 2019-07-31 18:32:17,12,0
 2019-07-31 18:32:18,12,0
 2019-07-31 18:32:20,11,0
 2019-07-31 18:32:21,11,0
 2019-07-31 18:32:22,11,0
 2019-07-31 18:32:23,13,2
 2019-07-31 18:32:24,13,0
 2019-07-31 18:32:25,13,0
 2019-07-31 18:32:25,13,0
 2019-07-31 18:32:26,13,0
 2019-07-31 18:32:28,14,1
 2019-07-31 18:32:29,13,0
 2019-07-31 18:32:30,13,0
 2019-07-31 18:32:31,13,0
 2019-07-31 18:32:32,13,0
 2019-07-31 18:32:32,13,0
 2019-07-31 18:32:33,13,0
 2019-07-31 18:32:35,13,0
 2019-07-31 18:32:36,12,0
 2019-07-31 18:32:37,12,0
 2019-07-31 18:32:38,12,0
 2019-07-31 18:32:39,13,1
 2019-07-31 18:32:40,13,0
 2019-07-31 18:32:40,13,0
 2019-07-31 18:32:42,13,0
 2019-07-31 18:32:43,13,0
 2019-07-31 18:32:44,13,0
 2019-07-31 18:32:45,14,1
 2019-07-31 18:32:46,14,0
 2019-07-31 18:32:47,14,0
 2019-07-31 18:32:47,15,2
 2019-07-31 18:32:48,15,0
 2019-07-31 18:32:50,14,0
 2019-07-31 18:32:51,14,0
 2019-07-31 18:32:52,14,0
 2019-07-31 18:32:53,14,0
 2019-07-31 18:32:54,14,0
 2019-07-31 18:32:54,14,0
 2019-07-31 18:32:55,14,0
 2019-07-31 18:32:57,14,0
 2019-07-31 18:32:58,13,0
 2019-07-31 18:32:59,14,1
 2019-07-31 18:33:00,13,0
 2019-07-31 18:33:01,13,1
 2019-07-31 18:33:02,12,0
 2019-07-31 18:33:02,13,1
 2019-07-31 18:33:03,13,0
 2019-07-31 18:33:05,11,0
 2019-07-31 18:33:06,11,0
 2019-07-31 18:33:07,13,2
 2019-07-31 18:33:08,13,0
 2019-07-31 18:33:09,14,1
 2019-07-31 18:33:09,14,0
 2019-07-31 18:33:10,14,0
 2019-07-31 18:33:12,13,0
 2019-07-31 18:33:13,14,1
 2019-07-31 18:33:14,14,0
 2019-07-31 18:33:15,14,0
 2019-07-31 18:33:16,14,0
 2019-07-31 18:33:17,15,1
 2019-07-31 18:33:17,16,1
 2019-07-31 18:33:18,16,0
 2019-07-31 18:33:20,16,0
 2019-07-31 18:33:21,18,2
 2019-07-31 18:33:22,18,0
 2019-07-31 18:33:23,16,0
 2019-07-31 18:33:24,16,0
 2019-07-31 18:33:24,16,0
 2019-07-31 18:33:25,16,0
 2019-07-31 18:33:27,16,0
 2019-07-31 18:33:28,16,1
 2019-07-31 18:33:29,16,0
 2019-07-31 18:33:30,16,0
 2019-07-31 18:33:31,16,0
 2019-07-31 18:33:32,16,0
 2019-07-31 18:33:32,16,0
 2019-07-31 18:33:34,16,0
 2019-07-31 18:33:35,17,1
 2019-07-31 18:33:36,17,0
 2019-07-31 18:33:36,18,1
 2019-07-31 18:33:37,19,1
 2019-07-31 18:33:38,18,0
 2019-07-31 18:33:39,19,1
 2019-07-31 18:33:39,20,1
 2019-07-31 18:33:40,20,0
 2019-07-31 18:33:42,20,0
 2019-07-31 18:33:43,21,1
 2019-07-31 18:33:44,20,0
 2019-07-31 18:33:45,21,1
 2019-07-31 18:33:46,21,0
 2019-07-31 18:33:46,20,1
 2019-07-31 18:33:47,20,0
 2019-07-31 18:33:49,20,0
 2019-07-31 18:33:50,21,1
 2019-07-31 18:33:51,21,0
 2019-07-31 18:33:52,21,0
 2019-07-31 18:33:53,21,0
 2019-07-31 18:33:54,22,1
 2019-07-31 18:33:54,22,0
 2019-07-31 18:33:55,23,1
 2019-07-31 18:33:57,23,0
 2019-07-31 18:33:58,22,0
 2019-07-31 18:33:59,22,0
 2019-07-31 18:34:00,21,0
 2019-07-31 18:34:01,21,0
 2019-07-31 18:34:01,20,0
 2019-07-31 18:34:02,21,1
 2019-07-31 18:34:04,21,0
 2019-07-31 18:34:05,21,0
 2019-07-31 18:34:06,19,0
 2019-07-31 18:34:07,19,0
 2019-07-31 18:34:08,18,0
 2019-07-31 18:34:09,18,0
 2019-07-31 18:34:09,18,0
 2019-07-31 18:34:11,18,0
 2019-07-31 18:34:12,17,0
 2019-07-31 18:34:13,17,0
 2019-07-31 18:34:14,17,0
 2019-07-31 18:34:15,18,1
 2019-07-31 18:34:16,17,0
 2019-07-31 18:34:16,16,0
 2019-07-31 18:34:17,16,0
 2019-07-31 18:34:19,16,0
 2019-07-31 18:34:20,14,0
 2019-07-31 18:34:21,14,0
 2019-07-31 18:34:22,16,2
 2019-07-31 18:34:23,16,0
 2019-07-31 18:34:23,16,0
 2019-07-31 18:34:24,17,1
 2019-07-31 18:34:26,17,0
 2019-07-31 18:34:27,16,0
 2019-07-31 18:34:28,16,0
 2019-07-31 18:34:29,18,2
 2019-07-31 18:34:30,18,0
 2019-07-31 18:34:31,18,0
 2019-07-31 18:34:31,18,0
 2019-07-31 18:34:32,18,0
 2019-07-31 18:34:34,17,0
 2019-07-31 18:34:35,18,1
 2019-07-31 18:34:36,17,0
 2019-07-31 18:34:37,16,0
 2019-07-31 18:34:38,17,1
 2019-07-31 18:34:38,16,0
 2019-07-31 18:34:39,15,0
 2019-07-31 18:34:41,15,0
 2019-07-31 18:34:42,15,0
 2019-07-31 18:34:43,14,0
 2019-07-31 18:34:44,15,1
 2019-07-31 18:34:45,14,0
 2019-07-31 18:34:46,15,1
 2019-07-31 18:34:46,14,0
 2019-07-31 18:34:47,14,0
 2019-07-31 18:34:49,14,0
 2019-07-31 18:34:50,13,0
 2019-07-31 18:34:51,13,0
 2019-07-31 18:34:52,13,0
 2019-07-31 18:34:53,13,0
 2019-07-31 18:34:53,12,0
 2019-07-31 18:34:54,12,0
 2019-07-31 18:34:57,11,0
 2019-07-31 18:34:58,11,0
 2019-07-31 18:34:59,11,0
 2019-07-31 18:35:00,11,0
 2019-07-31 18:35:01,11,0
 2019-07-31 18:35:01,11,0
 2019-07-31 18:35:03,11,0
